depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
261,0.12534,0.996459,0.998409,1.00114,1.00291,0.991484,9.3177
262,0.126016,0.996339,0.999066,1.00127,1.00321,0.9913,9.3534
263,0.126739,0.996649,0.999567,1.00092,1.00369,0.991354,9.3891
264,0.127479,0.996938,1.00052,1.00037,1.00375,0.991477,9.4248
265,0.128236,0.997255,1.00091,0.99984,1.00376,0.991723,9.4605
266,0.129039,0.996906,1.00135,0.999346,1.00364,0.991934,9.4962
267,0.129844,0.997322,1.00209,0.998955,1.0037,0.992009,9.5319
268,0.130591,0.997592,1.00256,0.998741,1.00364,0.991926,9.5676
269,0.131311,0.997748,1.00266,0.998433,1.00354,0.991942,9.6033
270,0.131989,0.998273,1.00265,0.998296,1.00319,0.992053,9.639
271,0.132538,0.998164,1.00253,0.998442,1.00257,0.991745,9.6747
272,0.132894,0.998303,1.00206,0.99815,1.00261,0.992017,9.7104
273,0.133125,0.99876,1.00211,0.997993,1.00241,0.992616,9.7461
274,0.133149,0.998645,1.00241,0.998057,1.00242,0.993912,9.7818
275,0.133009,0.997972,1.00249,0.998075,1.00216,0.994367,9.8175
276,0.132776,0.997919,1.00203,0.998421,1.00255,0.99472,9.8532
277,0.132404,0.997909,1.00208,0.998458,1.00212,0.99475,9.8889
278,0.131961,0.998283,1.00149,0.998176,1.00189,0.995053,9.9246
279,0.13141,0.998798,1.00077,0.998425,1.00216,0.995099,9.9603
280,0.130667,0.998894,1.00074,0.998911,1.00189,0.995039,9.996
281,0.129722,0.998717,1.00042,0.999178,1.00206,0.995203,10.0317
282,0.128663,0.998726,1.00031,0.999647,1.0022,0.995589,10.0674
283,0.127481,0.99934,1.00024,1.00017,1.00248,0.995323,10.1031
284,0.126191,0.999583,1.00004,1.00036,1.00279,0.995567,10.1388
285,0.124804,0.999297,1.00042,1.00059,1.00274,0.995351,10.1745
286,0.123367,0.998881,1.00085,1.00057,1.0028,0.995178,10.2102
287,0.121872,0.998856,1.00093,1.00015,1.00272,0.994882,10.2459
288,0.120423,0.99844,1.00101,0.999896,1.00226,0.995114,10.2816
289,0.119109,0.997998,1.00086,0.999841,1.0017,0.994836,10.3173
290,0.117907,0.998334,1.00102,0.999724,1.00131,0.994456,10.353
291,0.116814,0.998331,1.00091,0.999694,1.00156,0.994232,10.3887
292,0.115935,0.998354,1.00075,0.999551,1.00138,0.993874,10.4244
293,0.115221,0.998501,1.00068,0.999465,1.00069,0.993345,10.4601
294,0.114632,0.998536,1.00107,0.999291,0.999895,0.992413,10.4958
295,0.114182,0.99856,1.00102,0.998831,0.999692,0.991939,10.5315
296,0.113835,0.998276,1.00095,0.998647,0.999835,0.991781,10.5672
297,0.113612,0.998468,1.00081,0.998532,0.999775,0.991461,10.6029
298,0.113466,0.99816,1.00053,0.998448,0.999905,0.991333,10.6386
299,0.113432,0.997969,1.00052,0.998721,0.999657,0.990413,10.6743
300,0.11348,0.998024,1.00024,0.998999,1.00002,0.990066,10.71
301,0.113598,0.997745,1.00054,0.999374,1.00003,0.989838,10.7457
302,0.113783,0.99812,0.999904,0.999569,1.00019,0.989834,10.7814
303,0.114024,0.997943,1.00007,1.00006,1.00022,0.989392,10.8171
304,0.114304,0.997551,0.999669,1.00021,1.00022,0.988998,10.8528
305,0.114572,0.997778,0.999676,1.00044,1.00059,0.989109,10.8885
306,0.114895,0.997895,0.999151,1.00055,1.00013,0.989219,10.9242
307,0.115154,0.998515,0.99896,1.00064,0.999901,0.989287,10.9599
308,0.115383,0.998578,0.998635,1.00103,0.999667,0.989444,10.9956
309,0.115497,0.997824,0.998527,1.00112,0.999374,0.989647,11.0313
310,0.115646,0.997517,0.998065,1.00077,0.999247,0.989993,11.067
311,0.115705,0.997406,0.998014,1.00034,0.999095,0.990307,11.1027
312,0.115719,0.997521,0.998253,1.00052,0.998812,0.99081,11.1384
313,0.115724,0.997854,0.998643,1.0005,0.998205,0.990662,11.1741
314,0.115575,0.998211,0.998802,1.00045,0.998276,0.990463,11.2098
315,0.115377,0.997842,0.99888,0.999923,0.998435,0.990215,11.2455
316,0.115222,0.997772,0.999295,0.999659,0.998128,0.989882,11.2812
317,0.115042,0.997794,0.99947,0.999259,0.998203,0.989617,11.3169
318,0.114843,0.997609,0.999349,0.998888,0.998447,0.989573,11.3526
319,0.11467,0.998601,0.999459,0.998357,0.999277,0.989888,11.3883
320,0.114401,0.998383,0.999278,0.99876,0.999706,0.990137,11.424
321,0.114099,0.998731,0.999,0.998717,1.00014,0.990359,11.4597
322,0.113802,0.999287,0.999292,0.999058,1.00063,0.990653,11.4954
323,0.113544,0.999433,1.00023,0.999618,1.00094,0.991023,11.5311
