depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
404,0.0581248,1.00795,1.01801,0.994633,0.999104,0.992381,12.4836
405,0.0583189,1.00895,1.01832,0.994855,0.999039,0.992377,12.5145
406,0.0585137,1.00928,1.0183,0.995158,0.999152,0.992822,12.5454
407,0.0587282,1.00859,1.01838,0.995531,0.99921,0.993194,12.5763
408,0.0590348,1.00873,1.01775,0.995627,0.999053,0.993635,12.6072
409,0.0593584,1.00848,1.01714,0.995289,0.999472,0.993765,12.6381
410,0.0597933,1.00738,1.01756,0.995765,0.999613,0.994172,12.669
411,0.060321,1.00746,1.01741,0.994937,0.999663,0.994711,12.6999
412,0.0609116,1.00688,1.01755,0.995168,0.999859,0.994147,12.7308
413,0.0615015,1.00542,1.0176,0.995038,0.9997,0.994186,12.7617
414,0.0620671,1.00331,1.01786,0.995347,1.00002,0.994041,12.7926
415,0.0625957,1.00219,1.01835,0.995561,0.998923,0.993175,12.8235
416,0.0630758,1.00013,1.01801,0.995785,0.998212,0.992944,12.8544
